label,nr_errors,total,perc. errors
film.music_contributor,2.0,0,inf
film.film,13.0,0,inf
theater.theater_actor,1.0,0,inf
location.country,0.0,0,
music.producer,7.0,0,inf
book.periodical,1.0,0,inf
tv.tv_genre,0.0,0,
fictional_universe.fictional_character,0.0,0,
music.genre,1.0,0,inf
interests.collection_category,1.0,0,inf
film.producer,21.0,0,inf
language.human_language,0.0,0,
music.musical_scale,0.0,0,
business.product_category,1.0,0,inf
music.album,3.0,0,inf
award.award_presenting_organization,1.0,0,inf
film.writer,28.0,0,inf
location.administrative_division,1.0,0,inf
film.actor,59.0,0,inf
music.composition,6.0,0,inf
music.composer,37.0,0,inf
time.event,21.0,0,inf
award.award_ceremony,0.0,0,
music.writer,2.0,0,inf
tv.tv_program_creator,2.0,0,inf
music.record_label,1.0,0,inf
government.politician,0.0,0,
book.book,0.0,0,
film.director,21.0,0,inf
film.film_distributor,7.0,0,inf
award.award_discipline,2.0,0,inf
music.lyricist,15.0,0,inf
law.invention,1.0,0,inf
film.film_character,0.0,0,
award.award_category,0.0,0,
organization.organization,13.0,0,inf
broadcast.tv_station,1.0,0,inf
broadcast.broadcast,6.0,0,inf
people.person,223.0,0,inf
book.written_work,6.0,0,inf
broadcast.radio_station,3.0,0,inf
tv.tv_producer,1.0,0,inf
music.group_member,33.0,0,inf
spaceflight.astronaut,0.0,0,
food.food,0.0,0,
broadcast.artist,27.0,0,inf
music.musical_group,9.0,0,inf
tv.tv_network,1.0,0,inf
music.artist,70.0,0,inf
award.competition,5.0,0,inf
location.citytown,0.0,0,
music.performance_role,1.0,0,inf
tv.tv_director,2.0,0,inf
theater.play,0.0,0,
celebrities.celebrity,6.0,0,inf
business.business_operation,12.0,0,inf
tv.tv_actor,42.0,0,inf
media_common.media_genre,1.0,0,inf
film.production_company,4.0,0,inf
broadcast.radio_format,0.0,0,
location.location,10.0,0,inf
film.film_festival_focus,1.0,0,inf
music.media_format,0.0,0,
film.film_genre,1.0,0,inf
tv.tv_character,4.0,0,inf
book.author,5.0,0,inf
